taxonomic_group	taxon_primer_hits	taxon_primer_misses	taxon_total_observed	total_filtered_seqs	fraction_total_filtered_sequences_mismatched	fraction_taxon_mismatched
d:Bacteria,p:Actinobacteria,c:Coriobacteriia,o:Coriobacteriales	1.0000	1	2.0	134751	.00000742	.5000
d:Bacteria,p:Planctomycetes,c:Phycisphaerae,o:Tepidisphaerales	2.0000	1	3.0	134751	.00000742	.3333
d:Bacteria,p:Nitrospirae,c:Thermodesulfovibrionia,o:uncultured	2.0000	1	3.0	134751	.00000742	.3333
d:Bacteria,p:Cyanobacteria,c:Oxyphotobacteria,o:Pseudanabaenales	2.0000	1	3.0	134751	.00000742	.3333
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:R7C24	3.0000	1	4.0	134751	.00000742	.2500
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Tistrellales	3.0000	1	4.0	134751	.00000742	.2500
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Holosporales	3.0000	1	4.0	134751	.00000742	.2500
d:Bacteria,p:Patescibacteria,c:Microgenomatia,o:Candidatus_Woesebacteria	4.0000	1	5.0	134751	.00000742	.2000
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:MBAE14	5.0000	1	6.0	134751	.00000742	.1666
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Aeromonadales	7.0000	1	8.0	134751	.00000742	.1250
d:Bacteria,p:Patescibacteria,c:uncultured,o:uncultured_bacterium	7.0000	1	8.0	134751	.00000742	.1250
d:Bacteria,p:Gemmatimonadetes,c:BD2-11_terrestrial_group,o:uncultured_bacterium	7.0000	1	8.0	134751	.00000742	.1250
d:Eukaryota,p:Archaeplastida,c:Chloroplastida,o:Charophyta		1	1	134751	.00000742	1.0000
d:Bacteria,p:uncultured,c:uncultured_bacterium,o:uncultured_bacterium		1	1	134751	.00000742	1.0000
d:Bacteria,p:Tenericutes,c:Mollicutes,o:Mycoplasmatales		1	1	134751	.00000742	1.0000
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Beggiatoales		1	1	134751	.00000742	1.0000
d:Bacteria,p:Planctomycetes,c:Phycisphaerae,o:mle1-8		1	1	134751	.00000742	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:GWA2-38-13b		1	1	134751	.00000742	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:CG1-02-42-13		1	1	134751	.00000742	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Vogelbacteria		1	1	134751	.00000742	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Lloydbacteria		1	1	134751	.00000742	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Liptonbacteria		1	1	134751	.00000742	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Jorgensenbacteria_bacterium_GWA1_54_12		1	1	134751	.00000742	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Brennerbacteria		1	1	134751	.00000742	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Azambacteria		1	1	134751	.00000742	1.0000
d:Bacteria,p:Patescibacteria,c:Microgenomatia,o:Candidatus_Shapirobacteria		1	1	134751	.00000742	1.0000
d:Bacteria,p:Patescibacteria,c:Gracilibacteria,o:uncultured_Microgenomates_group_bacterium		1	1	134751	.00000742	1.0000
d:Bacteria,p:Patescibacteria,c:Gracilibacteria,o:groundwater_metagenome		1	1	134751	.00000742	1.0000
d:Bacteria,p:Patescibacteria,c:Gracilibacteria,o:Absconditabacteriales_(SR1)		1	1	134751	.00000742	1.0000
d:Bacteria,p:Marinimicrobia_(SAR406_clade),c:uncultured_Candidatus_Marinimicrobia_bacterium,o:uncultured_Candidatus_Marinimicrobia_bacterium		1	1	134751	.00000742	1.0000
d:Bacteria,p:Latescibacteria,c:uncultured_organism,o:uncultured_organism		1	1	134751	.00000742	1.0000
d:Bacteria,p:Firmicutes,c:Clostridia,o:Thermoanaerobacterales		1	1	134751	.00000742	1.0000
d:Bacteria,p:Firmicutes,c:Clostridia,o:D8A-2		1	1	134751	.00000742	1.0000
d:Bacteria,p:Elusimicrobia,c:Elusimicrobia,o:FCPU453		1	1	134751	.00000742	1.0000
d:Bacteria,p:Chloroflexi,c:JG30-KF-CM66,o:uncultured_Anaerolineales_bacterium		1	1	134751	.00000742	1.0000
d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:RBG-13-54-9		1	1	134751	.00000742	1.0000
d:Bacteria,p:Chloroflexi,c:AD3,o:uncultured_bacterium		1	1	134751	.00000742	1.0000
d:Bacteria,p:BHI80-139,c:uncultured_bacterium,o:uncultured_bacterium		1	1	134751	.00000742	1.0000
d:Bacteria,p:Bacteroidetes,c:Ignavibacteria,o:Kryptoniales		1	1	134751	.00000742	1.0000
