taxonomic_group	taxon_primer_hits	taxon_primer_misses	taxon_total_observed	total_filtered_seqs	fraction_total_filtered_sequences_mismatched	fraction_taxon_mismatched
d:Eukaryota,p:Archaeplastida,c:Streptophyta,o:Mesostigmatophyceae		0	0	4360	0	0
d:Eukaryota,p:Archaeplastida,c:Streptophyta,o:Embryophyceae		0	0	4360	0	0
d:Eukaryota,p:Archaeplastida,c:Rhodophyta,o:Florideophyceae		0	0	4360	0	0
d:Eukaryota,p:Archaeplastida,c:Rhodophyta,o:Bangiophyceae		0	0	4360	0	0
d:Eukaryota,p:Archaeplastida,c:Rhodophyceae,o:Stylonematales		0	0	4360	0	0
d:Eukaryota,p:Archaeplastida,c:Rhodophyceae,o:Rhodellophyceae		0	0	4360	0	0
d:Eukaryota,p:Archaeplastida,c:Rhodophyceae,o:Porphyridiophyceae		0	0	4360	0	0
d:Eukaryota,p:Archaeplastida,c:Rhodophyceae,o:Florideophycidae		0	0	4360	0	0
d:Eukaryota,p:Archaeplastida,c:Rhodophyceae,o:Bangiales		0	0	4360	0	0
d:Eukaryota,p:Archaeplastida,c:Glaucophyta,o:Glaucocystis		0	0	4360	0	0
d:Eukaryota,p:Archaeplastida,c:Chlorophyta,o:Trebouxiophyceae		0	0	4360	0	0
d:Eukaryota,p:Archaeplastida,c:Chlorophyta,o:Pyramimonadales		0	0	4360	0	0
d:Eukaryota,p:Archaeplastida,c:Chlorophyta,o:Prasinophyceae		0	0	4360	0	0
d:Eukaryota,p:Archaeplastida,c:Chlorophyta,o:Prasinococcales		0	0	4360	0	0
d:Eukaryota,p:Archaeplastida,c:Chlorophyta,o:Nephroselmidophyceae		0	0	4360	0	0
d:Eukaryota,p:Archaeplastida,c:Chlorophyta,o:Mamiellophyceae		0	0	4360	0	0
d:Eukaryota,p:Archaeplastida,c:Chlorophyta,o:Chlorophyceae		0	0	4360	0	0
d:Eukaryota,p:Amoebozoa,c:uncultured,o:uncultured_Eimeriidae		0	0	4360	0	0
d:Eukaryota,p:Amoebozoa,c:uncultured,o:uncultured_Amoebozoa		0	0	4360	0	0
d:Eukaryota,p:Amoebozoa,c:uncultured,o:metagenome		0	0	4360	0	0
d:Eukaryota,p:Amoebozoa,c:Tubulinea,o:metagenome		0	0	4360	0	0
d:Eukaryota,p:Amoebozoa,c:Tubulinea,o:Euamoebida	1.0000	0	1.0	4360	0	0
d:Eukaryota,p:Amoebozoa,c:Tubulinea,o:Arcellinida		0	0	4360	0	0
d:Eukaryota,p:Amoebozoa,c:Schizoplasmodiida,o:Phalansterium		0	0	4360	0	0
d:Eukaryota,p:Amoebozoa,c:Protosteliida,o:Protostelium		0	0	4360	0	0
d:Eukaryota,p:Amoebozoa,c:Protosteliida,o:metagenome		0	0	4360	0	0
d:Eukaryota,p:Amoebozoa,c:Protosporangiida,o:Protosporangiidae		0	0	4360	0	0
d:Eukaryota,p:Amoebozoa,c:Mycamoeba,o:uncultured_freshwater_eukaryote		0	0	4360	0	0
